feature,coefficient
attack=kv kortrijk,-0.006079500203049645
attack=lask,0.008732203572916136
attack=lecce,-0.003960822371231704
attack=lens,0.009427059447703931
attack=levante,0.017227497701884996
attack=lille,0.0021889108241947316
attack=lillestrom,-0.004991381824333606
attack=liverpool,-0.002185505013902121
attack=malaga,-0.01108958527953315
attack=manchester city,0.008095317997823271
attack=manchester united,0.0029100584362974657
attack=metalist 1925,-0.004944529637497366
attack=molde,0.00027660597530419995
attack=monza,-0.002214650670556188
attack=napoli,-9.773238659477185e-05
attack=newcastle united,0.0008623994484010594
attack=nottingham forest,0.004579514779343361
attack=oh leuven,-0.004720210014345774
attack=pardubice,0.0006305793778523331
attack=paris saint germain,0.0026006025305864242
attack=podbrezova,-0.003983068273034206
attack=polissya zhytomyr,0.004533371516275649
attack=porto,0.0021747219979415216
attack=psv eindhoven,0.020249274806186785
attack=racing santander,0.000948595547026625
attack=rayo vallecano,0.005527919857735682
attack=rb leipzig,0.005613910805763912
attack=real betis,-0.00828814223011991
attack=real madrid,0.008784447328208832
attack=real sociedad,-0.007996071481012347
attack=rio ave,-0.009591017380773788
attack=roma,0.017217493406049434
attack=rosenborg,0.01042568737630026
attack=ruzomberok,-0.00416824340369342
attack=sabah,-0.002346799951292677
attack=samsunspor,-0.004337745659836586
attack=sandefjord,-0.0033415768018335073
attack=sarpsborg fk,0.000112596855909163
attack=sc cambuur,0.0031343182249829347
attack=sc rheindorf altach,-0.003432045120811833
attack=sevilla,0.0006360147053167805
attack=shakhtar donetsk,-0.00043704126265203016
attack=sk brann,0.003212720203432361
attack=slavia prague,0.016795435248343656
attack=slovacko,-0.001995897591807972
attack=slovan bratislava,0.018837832915701676
attack=slovan liberec,-0.0005731023189046983
attack=sparta prague,-0.005534461842650326
attack=sparta rotterdam,-0.007646490859106626
attack=sporting cp,0.01120143992071096
attack=stade rennais,0.0008671997081493908
attack=strasbourg,0.004702505395751829
attack=stuttgart,-0.0024161108973173484
attack=sv josko ried,0.0003284176742271587
attack=tromso,-0.002021126900281964
attack=udinese,-0.003416001862028997
attack=valencia,-0.006644287324572303
attack=valerenga,-0.0010807547451713887
attack=viking,0.0008068488681665883
attack=villarreal,-0.006019591553603224
attack=vitoria de guimaraes,0.0038101211899289975
attack=wolfsberger,0.0005022712330128066
attack=zemplin michalovce,0.004987698298150513
competition=Austrian Bundesliga,-0.004246948878174798
competition=Azerbaijani Premier League,-0.010635568654260314
competition=Belgian Pro League,-0.020117164961955925
competition=Bundesliga,0.00483014077693432
competition=Czech First League,0.009543025963404651
competition=Eliteserien,-0.010010082868082998
competition=Eredivisie,0.024726132318504204
competition=Greek Super League,-0.0006696105869192115
competition=LaLiga,-0.0004526163581629918
competition=Ligue 1,0.013723409791423988
competition=Portuguese Primeira Liga,-0.00630157276642117
competition=Premier League,0.009750738541660673
competition=Serie A,-0.007435961911837649
competition=Slovak Super Liga,0.00840214719260266
competition=Turkish Super Lig,-0.003840640082402637
competition=Ukrainian Premier League,-0.007265399850546644
defence=aalesund,-0.003587857734724723
defence=academico de viseu,0.001945062152368083
defence=ado den haag,-0.004936422447097981
defence=aek athens,-0.0073793932019690965
defence=afc bournemouth,0.000840123102526664
defence=aj auxerre,0.014288895362102491
defence=alaves,-0.010283008811361868
defence=alverca,0.0031734542441283283
defence=angers,0.002090507738763042
defence=araz pfk,-0.002346799951292677
defence=arouca,-0.0008153318212075332
defence=arsenal,-0.010076257972684435
defence=aston villa,0.007087845642040006
defence=athletic club,-0.0033676645679389444
defence=atletico madrid,-0.003911131053493128
defence=austria vienna,-0.003357249532299969
defence=banik ostrava,0.008185440241134927
defence=banska bystrica,0.009430822786224037
defence=barcelona,-0.0061464277602602205
defence=bayern munich,-0.0024161108973173484
defence=bodo glimt,-0.011035993651983388
defence=bohemians 1905,-0.002656916676113036
defence=borussia dortmund,-0.007087376540892014
defence=borussia monchengladbach,0.005613910805763912
defence=brighton hove albion,-0.006854545373325056
defence=cagliari,-0.003919643821277041
defence=cercle brugge ksv,-0.009688692848240194
defence=club brugge,-0.010005278419952508
defence=como,-0.005756231845193965
defence=corum fk,0.0009724842919026892
defence=coventry city,0.00535443855194426
defence=crystal palace,0.007255194895296605
defence=elche,0.015685862399915828
defence=epitsentr kamianets podilskyi,0.0004886492483778676
defence=erzurum bb,-0.0007428263202251976
defence=espanyol,0.0021342818408207538
defence=estrela,0.001991349464473416
defence=excelsior,-0.003593907249092706
defence=fc groningen,0.009270359096636685
defence=fc kosice,-0.000303094886383339
defence=fc utrecht,0.014008409143141526
defence=fenerbahce,0.0002504761451760341
defence=feyenoord,0.00351307226283556
defence=fiorentina,0.010022708312020229
defence=fortuna sittard,0.0005644138155012842
defence=fredrikstad,-0.005211383449901403
defence=galatasaray,0.0015831172792079512
defence=genclerbirligi,-0.0021697582106276936
defence=genoa,0.002242497596570195
defence=go ahead eagles,-0.004460750382766547
defence=goztepe,-0.0010113793625267235
defence=grazer ak,0.004801488580712576
defence=hamarkameratene,0.0036841589745336767
defence=hamburg sv,0.0009720751236907812
defence=hull city,-0.006901798885261696
defence=ik start,0.016162089571360033
defence=inter milan,-0.007680730268936852
defence=ipswich town,0.009811857321559161
defence=iraklis,0.009934944240507981
defence=kaa gent,-0.00854619556010461
defence=kfum oslo,-0.00030515179734426476
defence=kifisia,-0.0032251616254580957
defence=konyaspor,0.0002954896334454601
defence=kristiansund bk,0.0022544895487007937
defence=kudrivka,0.013043620354160568
defence=kv kortrijk,0.005253357885643947
defence=lask,-0.012979152451090936
defence=lecce,0.007194785094029205
defence=lens,0.006750423687442961
defence=levante,-0.0006498447477414946
defence=lille,-0.00760068800463061
defence=lillestrom,-0.0021809392385317033
defence=liverpool,0.005441914227744422
defence=malaga,0.00419196934293364
defence=manchester city,-0.0030751175564799676
defence=manchester united,0.0030525896022028324
defence=metalist 1925,-0.0041725207797742095
defence=molde,-0.005148200119482369
defence=monza,0.009993868438340074
defence=napoli,-0.006529347360736483
defence=newcastle united,0.0021498237448109884
defence=nottingham forest,-0.00433532875871311
defence=oh leuven,0.002869643980697436
defence=pardubice,-0.0006776854274835993
defence=paris saint germain,0.0009656027935810804
defence=podbrezova,0.002988737155200888
defence=polissya zhytomyr,-0.009796790085416255
defence=porto,-0.018332436969720277
defence=psv eindhoven,0.0010196897222346274
defence=racing santander,0.002157708265573119
defence=rayo vallecano,0.005932582710816483
